Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
12486,32250,250,44100,0.1299978045905513,-1.0060402545452698,559.4723561957222,3.572859026144325,0.009444168743366527,(0.06957609658871348-0.1098116386447319j),(3515.2684882221056+22.44893533769399j),(0.9973322948194948-0.07966746166119616j),100,0.7312925170068028,-0.0011960818089738808,2
12615,32500,250,44100,0.1238304606173007,-2.036367157001104,561.5454182737108,2.559225278893188,0.008255797864165365,(-0.05559157382478172-0.11065062085852351j),(3528.293921411395+16.080086670104258j),(0.997164701364982-0.07995048439203509j),101,0.7369614512471655,0.0006350056003262724,2
12694,32750,250,44100,0.1268302795444212,-2.9929395546139164,563.5600081892661,-1.638329791878324,0.007456283073171725,(-0.12543152665249382-0.018784353354341685j),(3540.9519631688045-10.293929676644474j),(0.9965455494952153-0.08018872647137873j),102,0.7426303854875284,-6.390356690479022e-5,2
12805,33000,250,44100,0.1655150194810919,2.097339954596114,554.4904681052061,-4.901569477970283,0.011361387082670562,(-0.08317926602557534+0.14309588176209964j),(3483.9663621697623-30.7974693261028j),(0.9961850697118297-0.07886425808014567j),103,0.7482993197278912,-0.0009614126766132601,2
12939,33250,250,44100,0.1474217473594507,1.098686334850883,558.8895510420939,-3.139221397552561,0.009566060591292582,(0.06704246879031679+0.13129538823969833j),(3511.60661544388-19.72430976108602j),(0.9963855979394541-0.07950857606973336j),104,0.753968253968254,0.2476999869226806,2
13062,33500,250,44100,0.1373407792601614,-0.0583042243560283,562.0407452707764,-0.0077141590617814,0.009258749666265071,(0.13710740845500394-0.008003011591962997j),(3531.4061527216068-0.04846949087423131j),(0.9967944353974658-0.07999159580988409j),105,0.7596371882086168,5.148383587431768e-7,2
13191,33750,250,44100,0.11710286966283,-0.9634450106969616,570.8474121442592,-2.1866976257298805,0.006236706168958163,(0.06682995951079385-0.09616048354212563j),(3586.7400726262995-13.73942639323047j),(0.9963839043838048-0.08121702983737329j),106,0.7653061224489796,-9.226486846242977e-5,2
13415,34000,250,44100,0.1616021321090358,-2.5006709043250304,554.9144554026584,7.191966116167522,0.016730705968837137,(-0.12953137334794493-0.09662749308960453j),(3486.630352927545+45.188455830837206j),(0.997898238847829-0.07906054237348849j),107,0.7709750566893424,-1.7382060956234016e-16,2
13498,34250,250,44100,0.0002229350871952,0.9691112712426072,72.58916655575095,-24.355250559813488,1.1623827569270057e-8,(0.00012618848411488816+0.00018378389368908923j),(456.09118476350613-153.0285524700975j),(0.996482683554822-0.010306194389704974j),108,0.7766439909297053,-0.008063273504806526,-1
13634,34500,250,44100,0.1684543716419476,3.0734589227195657,497.428396534481,-15.455242034592072,0.008465094186389448,(-0.16806352299009114+0.011468546788610062j),(3125.434792479352-97.10814967065325j),(0.9952956090445961-0.0706564666297292j),109,0.782312925170068,6.005535510518343e-5,2
13811,34750,250,44100,0.1596158874132115,1.2402147573228235,668.3252995266457,2.783544540251018,0.013830008303204334,(0.05181022574625716+0.15097328248014247j),(4199.211702402216+17.489526157185153j),(0.9958648488081654-0.09511410697069425j),110,0.7879818594104309,0.00028894830438717326,3
