,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,f0
312,500,250,44100,0.0040316644887432,0.212970985085851,-4355.74551727905,-0.0324712726229002,1.6235608516138726e-05,(0.003940578173300708+0.0008521515181584178j),(-27367.956235981073-0.20402302304962927j),(0.8135325681923644+0.5815113995342938j),0
313,500,250,44100,0.0045626871501936,-1.4759141837233185,4044.659745191725,-0.0488268162357357,2.0782094501523237e-05,(0.0004322682618818222-0.004542164481864527j),(25413.346683529377-0.3067879343687324j),(0.8384971033774138-0.5448932872035318j),0
314,500,250,44100,0.0045626871501936,1.4759141837233185,-4044.659745191725,-0.0488268162357357,2.0782094501523237e-05,(0.0004322682618818222+0.004542164481864527j),(-25413.346683529377-0.3067879343687324j),(0.8384971033774138+0.5448932872035318j),0
315,500,250,44100,0.0052145223013229,-2.567200183637914,3733.534152375608,-0.0350339106183001,2.7157475416909864e-05,(-0.004377709025580563-0.002833179577496815j),(23458.486930059607-0.22012455244994622j),(0.8618211824275217-0.5072023921435681j),0
316,500,250,44100,0.0052145223013229,2.567200183637914,-3733.534152375608,-0.0350339106183001,2.7157475416909864e-05,(-0.004377709025580563+0.002833179577496815j),(-23458.486930059607-0.22012455244994622j),(0.8618211824275217+0.5072023921435681j),0
317,500,250,44100,0.0070450116354643,-2.775737227349553,3111.301567707537,-0.0092738468780443,4.961586336703879e-05,(-0.006578759208252568-0.002520340497563894j),(19548.884296424807-0.05826929844516132j),(0.90334622568379-0.42890902758950405j),0
318,500,250,44100,0.0070450116354643,2.775737227349553,-3111.301567707537,-0.0092738468780443,4.961586336703879e-05,(-0.006578759208252568+0.002520340497563894j),(-19548.884296424807-0.05826929844516132j),(0.90334622568379+0.42890902758950405j),0
319,500,250,44100,0.012761685498352,-0.1064432516090535,2177.888338524864,-0.0145581047755453,0.0001627765330768,(0.01268945772667993-0.0013558316125725379j),(13684.076009297183-0.09147127002608751j),(0.9522411005327002-0.30534036436075584j),0
320,500,250,44100,0.012761685498352,0.1064432516090535,-2177.888338524864,-0.0145581047755453,0.0001627765330768,(0.01268945772667993+0.0013558316125725379j),(-13684.076009297183-0.09147127002608751j),(0.9522411005327002+0.30534036436075584j),0
321,500,250,44100,0.0165042722912267,-1.3690932650126435,1866.7476200980493,-0.0014024173135231,0.0002723774520868,(0.003306435473791749-0.016169678052472387j),(11729.121218812523-0.008811647858862626j),(0.9648387306009545-0.26284182374804915j),0
322,500,250,44100,0.0165042722912267,1.3690932650126435,-1866.7476200980493,-0.0014024173135231,0.0002723774520868,(0.003306435473791749+0.016169678052472387j),(-11729.121218812523-0.008811647858862626j),(0.9648387306009545+0.26284182374804915j),0
323,500,250,44100,0.0223661464079647,1.6671432339495318,1555.629218423148,-0.0053617594728569,0.0005001493625243,(-0.002151576673218048+0.022262417275798654j),(9774.306648615586-0.03368892834048551j),(0.9755375817815428-0.2198292489420634j),0
324,500,250,44100,0.0223661464079647,-1.6671432339495318,-1555.629218423148,-0.0053617594728569,0.0005001493625243,(-0.002151576673218048-0.022262417275798654j),(-9774.306648615586-0.03368892834048551j),(0.9755375817815428+0.2198292489420634j),0
325,500,250,44100,0.0324524726454626,0.5768304596879332,1244.516226810922,-0.0004578345999671,0.0010531458751337,(0.02720151424493784+0.017698604566093564j),(7819.526070844963-0.0028766596316322224j),(0.9843210377311311-0.17638583905507665j),0
326,500,250,44100,0.0324524726454626,-0.5768304596879332,-1244.516226810922,-0.0004578345999671,0.0010531458751337,(0.02720151424493784-0.017698604566093564j),(-7819.526070844963-0.0028766596316322224j),(0.9843210377311311+0.17638583905507665j),0
327,500,250,44100,0.0523798881922571,-0.6842661316562889,933.3770273508852,-0.0015088327916801,0.0027435058297989,(0.040588292089058224-0.03310956406125958j),(5864.580824310041-0.009480276027675621j),(0.9911704791929481-0.1325920481477793j),0
328,500,250,44100,0.0523798881922571,0.6842661316562889,-933.3770273508852,-0.0015088327916801,0.0027435058297989,(0.040588292089058224+0.03310956406125958j),(-5864.580824310041-0.009480276027675621j),(0.9911704791929481+0.1325920481477793j),0
329,500,250,44100,0.0022176223219049,-0.7258485616568071,-6222.506565630614,0.1489976248858099,4.9439361144949575e-06,(0.001658640547466011-0.0014719919486576092j),(-39097.16182699878+0.9361796874871764j),(0.6320971999997161+0.7749165037489648j),0
330,500,250,44100,0.0022176223219049,0.7258485616568071,6222.506565630614,0.1489976248858099,4.9439361144949575e-06,(0.001658640547466011+0.0014719919486576092j),(39097.16182699878+0.9361796874871764j),(0.6320971999997161-0.7749165037489648j),0
331,500,250,44100,0.0026472443620438,1.623493345293128,-5600.353170012406,0.0071876655542016,7.0096899838748425e-06,(-0.000139437328521348+0.0026435695458580264j),(-35188.056752838565+0.04516143460308042j),(0.69820151107667+0.7159027155067761j),0
332,500,250,44100,0.0026472443620438,-1.6234933452931275,5600.353170012406,0.0071876655542016,7.0096899838748425e-06,(-0.00013943732852134713-0.0026435695458580264j),(35188.056752838565+0.04516143460308042j),(0.69820151107667-0.7159027155067761j),0
