Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,clusterSimilarity,clusters
59724,107500,250,44100,0.0955967637228868,1.8287405970742152,374.1837332029114,5.963637347459703,0.010588088979700216,(-0.024386100951594054+0.09243408091536426j),(2351.0657346461394+37.470638558906245j),(0.9994280717067622-0.053332193684517755j),405,2.437641723356009,0.0023702092154801874,1,7
59813,107750,250,44100,0.1192526004909877,1.051283333673379,377.4041067351557,-0.6347855172263148,0.012941343117244042,(0.05920384135254741+0.10351853888538769j),(2371.2999383075667-3.9884750350467755j),(0.9984643826731896-0.05374020533907472j),406,2.443310657596372,7.700095839729047e-5,1,7
60024,108000,250,44100,0.1121283519662617,0.0799608689774026,374.2555634579345,0.4715794303499804,0.011898821956873558,(0.11177008312076625+0.008956329261861434j),(2351.5170574491112+2.963020947943116j),(0.9986457940281966-0.053300698551606386j),407,2.4489795918367347,-0.0004529786498017104,1,7
60184,108250,250,44100,0.1201786441189748,-0.7238606267593745,371.1839235724918,0.7013884044702215,0.013781394464140593,(0.09004438927799215-0.0795921758832401j),(2332.217374851951+4.406953317593429j),(0.9987017238079133-0.05286538248485945j),408,2.4546485260770976,4.466388765236608e-6,1,7
60241,108500,250,44100,0.1045046235646264,-1.4872680620651697,379.832597010665,-3.8264780424829055,0.008901151849130578,(0.008718942968478756-0.10414027261293635j),(2386.558592725275-24.0424706147739j),(0.9979917996063539-0.05406108274375055j),409,2.4603174603174605,-2.7414813200092872e-6,1,7
60435,108750,250,44100,0.0723255405000593,-2.295390716202657,375.0284533964628,-16.20545442057364,0.0028942959343901133,(-0.047939667387630495-0.054155074548827634j),(2356.373268154939-101.82187311151678j),(0.9962698923532588-0.05328391017899974j),410,2.4659863945578233,2.5601271676852196e-5,1,7
60568,109000,250,44100,0.0518613449966095,-3.1374601068595287,368.8693587801902,-5.149661919406934,0.00209683822164707,(-0.05186090215470645-0.00021431882167088911j),(2317.6745353564465-32.35628010895987j),(0.9978868842188231-0.05249226059834543j),411,2.4716553287981857,-5.471883571742951e-6,1,7
60714,109250,250,44100,0.0460306388287948,2.583907526495973,348.90722513659165,-9.76585878450011,0.0014227841162024009,(-0.03905619005492471+0.024360495261397205j),(2192.2487505470326-61.36070042676179j),(0.9973759559070798-0.04962129348291305j),412,2.4773242630385486,1.126640219302262e-6,1,7
60939,109500,250,44100,0.0344596856078514,2.9446118034356283,354.0068287282293,21.589089760386877,0.002618339183599672,(-0.03379330154139196+0.006744086530028892j),(2224.2905049064507+135.64825157784406j),(1.001805044549399-0.050571358890836256j),413,2.4829931972789114,0.0005820712977778776,1,7
61093,109750,250,44100,0.0597385310991756,2.9779368813354443,366.2946727298458,1.2048780991651515,0.003467313910563187,(-0.05894032017655958+0.00973297258661605j),(2301.497305794322+7.570472369616948j),(0.9988099547183215-0.05217341642104429j),414,2.4886621315192743,1.6265438852495933e-5,1,7
61238,110000,250,44100,0.0504602382360001,2.5920399915959846,375.6132863936666,1.9117963856004,0.00253791235006175,(-0.0430303846855719+0.026355675605941042j),(2360.047882250124+12.01217096032347j),(0.9988404018838833-0.05350485619498779j),415,2.494331065759637,-2.582803455014394e-5,1,7
61397,110250,250,44100,0.0541002914051836,1.6934864414784108,382.74102303912935,2.5488726953960485,0.002985751616363596,(-0.006620931076661032+0.05369361974950001j),(2404.832772414341+16.01503946958368j),(0.9988762129076404-0.05452413003416755j),416,2.5,-0.0006504365923828703,1,7
61471,110500,250,44100,0.0706316165065218,0.6734256853144727,371.713549657445,-0.1877471029065496,0.004612068942431022,(0.0552120119395776+0.04405064117476956j),(2335.545113687228-1.1796498384479663j),(0.9985712244406411-0.05293403717147185j),417,2.505668934240363,-4.674551279178543e-6,1,7
61622,110750,250,44100,0.0830281810528881,0.00336958796109,360.9144500689443,-4.265609769775572,0.005535875387339333,(0.08302770969724288+0.00027977022988205126j),(2267.692369821991-26.80161663161557j),(0.9980714423493087-0.05136770932401751j),418,2.5113378684807257,6.63357229173602e-6,1,7
61770,111000,250,44100,0.0580725195056691,-0.2652051888932294,371.1378112284614,-14.475326731774247,0.001962354589722226,(0.056042231034516395-0.015221230647033958j),(2331.927642449459-90.95116023770785j),(0.9965448952259861-0.05274464715384096j),419,2.5170068027210886,7.682348131960581e-16,1,7
61978,111250,250,44100,7.299656478887436e-5,-1.5108739930867987,365.2617545931557,132.4824130321229,6.471976466237951e-6,(4.371507300081987e-06-7.286555012419562e-05j),(2295.0072897343516+832.4115510231319j),(1.0176751914309696-0.05300867840913724j),420,2.5226757369614514,-0.00022238891005762525,1,7
62051,111500,250,44100,0.0259265385792767,0.1099056418517618,1117.651542497944,-10.340976712563526,0.0004433288936776926,(0.025770109564519233+0.0028437397446672286j),(7022.4117503696825-64.9742729422654j),(0.9858947116476444-0.15833280044813489j),421,2.5283446712018143,-2.0610196766793618e-7,1,-1
62229,111750,250,44100,0.0510034430740789,-1.8826788606497795,363.5270257497528,9.469528890243437,0.003452143991449709,(-0.01565045215624676-0.04854291454698456j),(2284.107666953542+59.498804789090165j),(1.0000072790129042-0.051840565786407944j),422,2.5340136054421767,9.662540300351714e-7,1,7
62337,112000,250,44100,0.0337427413778431,-2.5083905939844344,377.0360198083163,18.179138457797105,0.002163581266994874,(-0.027201268678099362-0.019966561496508644j),(2368.9871799370844+114.22289565521413j),(1.0011472111758393-0.05383194721947695j),423,2.5396825396825395,0.0004634223720843787,1,7
62390,112250,250,44100,0.0750888525301022,-2.650118310037316,376.1174840130338,-3.344291204659751,0.004671304007361371,(-0.06620118844454573-0.035436399687569745j),(2363.2158493240468-21.012801360048066j),(0.998088841414043-0.053536502084713763j),424,2.5453514739229024,-1.5702918659072454e-5,1,7
62519,112500,250,44100,0.0646319606586644,2.7174886336892743,378.10106410545296,4.5845265622351725,0.004594570102718847,(-0.058906072972624256+0.026596332557836052j),(2375.679050616349+28.805429936210572j),(0.9992017975681232-0.053879403416457854j),425,2.5510204081632653,2.6635815106836024e-7,1,7
62563,112750,250,44100,0.0378112364265665,-2.282818493251285,380.3163957437361,-26.28750594364944,0.0006035471523143776,(-0.024704575210075144-0.028624701986142163j),(2389.5983898165396-165.16927110753423j),(0.9947994598466032-0.05395692676281561j),426,2.556689342403628,-0.0005803652463580282,1,7
62638,113000,250,44100,0.0846131278939181,1.051125715345761,371.8977410357354,-5.052254534884443,0.005599672090069982,(0.04201839373361965+0.07344273960058315j),(2336.7024222490113-31.74425146171737j),(0.9978779910803419-0.05292354978652561j),427,2.562358276643991,4.597907400800744e-6,1,7
62699,113250,250,44100,0.0516518924290631,0.4299619998620868,387.9631618617906,-3.3846490527918363,0.002207307217822638,(0.04695061931528337+0.021530381729427228j),(2437.644438336938-21.26637719846097j),(0.9979913266972837-0.05522060511802712j),428,2.568027210884354,-0.0006962907946228622,1,7
